asin,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,position.page,position.position,position.global_position,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews.total_reviews,reviews.rating
B01L2LODVM,https://www.amazon.com/dp/B01L2LODVM,6744.00,False,False,False,False,4 x 50ct TRUE METRIX® NFRS Test Strips (200 Test Strips),https://m.media-amazon.com/images/I/71xY+7zU1CL._AC_UL320_.jpg,1,13,13,False,0,USD,0.0,0.0,0,1405,4.8
B01N4X79QE,https://www.amazon.com/dp/B01N4X79QE,1899.80,False,False,False,False,"McKesson Safety Lancets, Sterile, Push-Button, 23 Gauge Needle, 1.8 mm, 100 Count, 1 Pack",https://m.media-amazon.com/images/I/7111O9jFEML._AC_UL320_.jpg,1,14,14,False,0,USD,0.0,0.0,0,413,4.6
B07VGSVRHT,https://www.amazon.com/dp/B07VGSVRHT,1748.00,False,False,False,True,[Abbott] Freestyle Optiums Test Strips 50,https://m.media-amazon.com/images/I/71o6ewvA-mL._AC_UL320_.jpg,1,15,15,False,0,USD,0.0,0.0,0,380,4.6
B08B86TM6R,https://www.amazon.com/dp/B08B86TM6R,2965.50,False,False,False,True,"CareSens N Plus Bluetooth Blood Diabetes Monitoring Kit with 100 Test Strips, 100 Lancets (30G), 1 Glucose Meter, 1 Contro...",https://m.media-amazon.com/images/I/71IW2InI9JL._AC_UL320_.jpg,1,16,16,False,0,USD,0.0,0.0,0,659,4.5
B07X8FBDG1,https://www.amazon.com/dp/B07X8FBDG1,6104.20,False,False,False,True,"AUVON Diabetes Testing Kit with 150 Glucometer Strips and 50 30G Lancets, Blood Glucose Monitor Kit Includes a Log Book, ...",https://m.media-amazon.com/images/I/81EB2ShsouL._AC_UL320_.jpg,1,17,17,False,0,USD,0.0,0.0,0,1327,4.6
B008UZSIGA,https://www.amazon.com/dp/B008UZSIGA,340.40,False,False,False,True,(EA) Bayer's CONTOUR(r) Blood Glucose Meter,https://m.media-amazon.com/images/I/41ScC5Ed+DL._AC_UL320_.jpg,1,18,18,True,0,USD,34.9,34.9,100,74,4.6
B093B6B15H,https://www.amazon.com/dp/B093B6B15H,2187.00,False,False,False,True,CURO G10 Glucose Home Test Kit : NFC Enabled Connect with CUROfit App on iOS & Android Devices- Blood Sugar Monitor Devic...,https://m.media-amazon.com/images/I/61djnhaw9ZS._AC_UL320_.jpg,1,19,19,False,0,USD,0.0,0.0,0,486,4.5
B07WRGH332,https://www.amazon.com/dp/B07WRGH332,1041.60,False,False,False,True,"FORA 6 Connect 50 Blood Glucose Test Strips, Accurate Blood Sugar Measurement for Diabetes",https://m.media-amazon.com/images/I/615kCC7uV6L._AC_UL320_.jpg,1,20,20,False,0,USD,0.0,0.0,0,217,4.8
B06XD43GX4,https://www.amazon.com/dp/B06XD43GX4,1504.00,False,False,False,False,"McKesson TRUE METRIX Professional Monitoring Blood Glucose Test Stripes, 50 Strips, 1 Pack",https://m.media-amazon.com/images/I/71rc2-7vUJL._AC_UL320_.jpg,1,21,21,False,0,USD,0.0,0.0,0,320,4.7
B07J5P9GXG,https://www.amazon.com/dp/B07J5P9GXG,48.00,False,False,False,True,AimStrip 37350 Plus Blood Glucose Test Strips,https://m.media-amazon.com/images/I/717u5gWJCnL._AC_UL320_.jpg,1,22,22,True,0,USD,10.51,10.51,100,10,4.8
B077J3XDDW,https://www.amazon.com/dp/B077J3XDDW,1968.80,False,False,False,True,"FORA Pro Voice V9 Diabetes Testing Kit for Accurate and Easy Monitoring Your Blood Glucose with Talking Glucometer, 1 Mete...",https://m.media-amazon.com/images/I/81AxNHOMtiS._AC_UL320_.jpg,1,23,23,True,0,USD,39.99,39.99,100,428,4.6
B00FT30EX6,https://www.amazon.com/dp/B00FT30EX6,5350.50,False,False,False,False,"CONTOUR NEXT Control Solution for Glucose Test Meter, Level 2, 2.5mL Bottle",https://m.media-amazon.com/images/I/61nFg4uC+rS._AC_UL320_.jpg,1,24,24,True,0,USD,12.39,12.39,100,1189,4.5
B07JPJRGRW,https://www.amazon.com/dp/B07JPJRGRW,2920.50,False,False,False,True,Dario Glucose Control Solutions for Dario Test Strips Testing. Verify The Performance of Your Dario Blood Glucose Test Str...,https://m.media-amazon.com/images/I/61GCMGGptlL._AC_UL320_.jpg,1,25,25,False,0,USD,0.0,0.0,0,649,4.5
B075FC5BJL,https://www.amazon.com/dp/B075FC5BJL,6628.60,False,False,False,True,"Contour Next ONE Blood Glucose Kit | Contour Next ONE Bluetooth Meter, 100 Contour Next Blood Glucose Test Strips, 100 O'W...",https://m.media-amazon.com/images/I/71-owBiohUL._AC_UL320_.jpg,1,26,26,False,0,USD,0.0,0.0,0,1441,4.6
B08FV3M87H,https://www.amazon.com/dp/B08FV3M87H,1283.40,False,False,False,True,"CONTOUR NEXT Control Solution for Glucose Test Meter, Level 1, 2.5mL Bottle",https://m.media-amazon.com/images/I/51bGupaFWlS._AC_UL320_.jpg,1,27,27,True,0,USD,12.13,12.13,100,279,4.6
B06XRKP8JW,https://www.amazon.com/dp/B06XRKP8JW,6821.80,False,False,False,True,"iHealth Blood Glucose Test Strips (50 Count), No Coding Blood Sugar Test, Eligible for FSA Reimbursement, Precision Sugar ...",https://m.media-amazon.com/images/I/71t0Yd6NXoL._AC_UL320_.jpg,1,28,28,False,0,USD,0.0,0.0,0,1483,4.6
B07G3BNXR6,https://www.amazon.com/dp/B07G3BNXR6,41039.20,False,False,False,True,Sponsored Ad - DARIO Blood Glucose Monitor Kit Test Your Blood Sugar Levels and Estimate A1c After 3m. Kit Includes: Gluco...,https://m.media-amazon.com/images/I/61oi8JnoYMS._AC_UL320_.jpg,1,29,29,False,0,USD,0.0,0.0,0,9544,4.3
